"","liveness","danceability","energy","key","loudness","mode","ArtistName","speechiness","acousticness","instrumentalness","valence","tempo","duration_ms","DateIndex","time_signature","MaxPosition","Track.Name","minPosition","lCountOnCharts","TrackPopularity","CountOnCharts","lSumChartStreams","ldurationms"
"878",0.228,0.618,0.645,1,-5.264,0,"ZAYN",0.0434,0.0481,0,0.228,97.654,178693,319,4,188,"TiO",144,1.38629436111989,62,4,13.9791172456386,12.093424528584
"879",0.162,0.832,0.876,6,-5.124,0,"Feder",0.205,0.173,0.737,0.635,120.057,201939,66,4,199,"Goodbye (feat. Lyse) - Radio Edit",100,4.44265125649032,64,85,16.8735150834817,12.2157209505801
"881",0.0507,0.666,0.723,1,-6.164,1,"Sia",0.268,0.0109,0.00047,0.731,192.024,210893,505,4,129,"The Greatest",5,3.89182029811063,92,49,18.7107251239572,12.2591061748302
"882",0.0887,0.642,0.901,1,-3.688,0,"Various Artists",0.0773,0.0168,1.97e-06,0.375,100.039,202145,455,4,198,"Standing In The Rain (with Mark Ronson & Dan Auerbach)",182,1.94591014905531,71,7,14.5520921576897,12.2167405406547
"883",0.343,0.359,0.66,1,-5.396,0,"Ariana Grande",0.289,0.09,0,0.562,79.196,226667,375,4,199,"Sometimes",173,1.09861228866811,63,3,13.7348133861758,12.3312372590713
"886",0.136,0.495,0.852,0,-5.487,1,"HÂkan Hellstrˆm",0.0451,0.000121,0.000483,0.454,127.962,281891,324,4,170,"Din tid kommer",170,0,54,1,12.6681071051262,12.5492757503776
"889",0.115,0.551,0.325,0,-13.507,1,"Mud",0.0286,0.81,0.000112,0.494,98.932,213160,225,3,193,"Lonely This Christmas",193,0,66,1,12.671506474124,12.2697983364107
"892",0.0854,0.563,0.414,0,-11.409,1,"Wale",0.37,0.0298,0,0.452,193.549,235652,442,4,200,"MY PYT",183,2.63905732961526,75,14,15.2409374071919,12.370111419479
"893",0.429,0.462,0.538,0,-5.527,1,"Panic! At The Disco",0.059,0.0137,0,0.385,139.256,203507,250,4,175,"Death Of A Bachelor",120,2.63905732961526,76,14,15.1995593997918,12.2234556813076
"894",0.28,0.327,0.71,3,-2.928,1,"Imagine Dragons",0.0547,0.202,9e-05,0.375,179.561,175200,231,4,200,"Demons",93,6.10031895202006,77,446,18.6345013634774,12.0736834574844
"896",0.0996,0.696,0.637,10,-7.867,0,"Disclosure",0.169,0.0667,1.1e-06,0.689,92.016,199246,136,4,97,"Magnets",97,0,4,1,12.6747629126934,12.2022955211686
"898",0.0695,0.391,0.817,9,-3.381,0,"Hozier",0.0546,0.0252,1.33e-06,0.346,126.673,193227,400,4,181,"Better Love - From ""The Legend Of Tarzan"" Original Motion Picture Soundtrack / Single Version",181,0,1,1,12.6751352071106,12.171620942549
"900",0.354,0.606,0.67,8,-6.807,1,"Kygo",0.047,0.138,6.6e-06,0.23,119.96,237920,365,4,192,"Oasis",192,0,64,1,12.6767166946633,12.379689761694
